Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers
ANA,1767330,21553,29.8,28.3,102,102,2,1,15,"$31,135,472 ",3:06,Collins
ATL,3464488,42771,27.9,28.5,102,99,3,7,14,"$52,278,500 ",2:48,Cox
BAL,3711132,45816,31.7,30.7,97,96,2,5,16,"$58,516,400 ",3:08,Johnson
BOS,2226136,27483,28,27.8,102,102,0,1,12,"$43,558,750 ",3:01,Williams
CHC,2190308,27041,29.4,28.2,102,102,1,1,9,"$42,155,333 ",2:52,Riggleman
CHW,1864782,23022,29.3,29.4,96,96,1,2,15,"$57,740,000 ",3:01,Bevington
CIN,1785788,22047,28.2,29.6,102,102,1,1,13,"$49,768,000 ",2:46,Knight and McKeon
CLE,3404750,42034,30.2,29.7,103,102,0,3,22,"$56,802,460 ",3:00,Hargrove
COL,3888453,48006,30.4,27.9,122,123,0,2,8,"$43,559,667 ",2:55,Baylor
DET,1365157,16854,26.4,27.5,99,100,0,1,7,"$17,272,000 ",2:58,Bell
FLA,2364387,29190,28.5,27.5,95,96,0,3,14,"$48,692,500 ",2:56,Leyland
HOU,2046781,25269,28.8,27,96,95,2,3,13,"$34,777,500 ",2:55,Dierker
KCR,1517638,18970,28.8,27.6,101,102,0,1,16,"$34,810,000 ",2:58,Boone and Muser
LAD,3319504,40982,29.3,28.8,93,92,2,1,9,"$45,380,304 ",2:56,Russell
MIL,1444027,18050,28,28.3,101,102,0,1,11,"$23,655,338 ",2:55,Garner
MIN,1411064,17421,29.2,28.1,100,101,1,1,14,"$34,072,500 ",2:56,Kelly
MON,1497609,18489,27.7,26.4,99,99,1,1,10,"$19,295,500 ",2:46,Alou
NYM,1766174,21805,27.3,29.4,97,97,0,2,11,"$39,800,400 ",2:52,Valentine
NYY,2580325,32254,30.6,29.6,100,98,2,5,20,"$62,241,545 ",3:11,Torre
OAK,1264218,15608,28.1,27.8,96,97,0,1,7,"$24,018,500 ",3:03,Howe
PHI,1490638,18403,27.8,27.9,100,101,0,1,9,"$36,656,500 ",2:51,Francona
PIT,1657022,20457,26.6,25.7,103,103,0,1,6,"$10,771,667 ",2:47,Lamont
SDP,2089333,25794,30.8,28.1,93,93,2,3,11,"$37,363,672 ",2:58,Bochy
SEA,3192237,39410,29.3,30.4,98,98,2,5,14,"$41,540,661 ",3:00,Piniella
SFG,1690869,20875,29.6,28.9,98,98,0,3,9,"$35,592,378 ",2:57,Baker
STL,2634014,32519,30,29.5,99,99,1,2,15,"$45,456,667 ",2:51,La Russa
TEX,2945228,36361,28.3,29.7,105,105,1,1,9,"$53,448,838 ",2:57,Oates
TOR,2589297,31967,29.6,28.8,99,99,0,2,17,"$47,079,833 ",2:51,Gaston and Queen
